sentence_id,K,aopc_ins,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1,20,0.36177940368652345,0.611751914024353,0.9792558550834656,0.9792558550834656,0.9861394166946411,0.9751873016357422,0.9751873016357422,0.9751873016357422,0.9653638005256653,0.9071918725967407,0.982498049736023,0.9638499021530151,0.9638499021530151,0.9929246306419373,0.9929246306419373,0.8409420847892761,0.9960313439369202,0.9960313439369202,0.999701201915741,0.999664306640625,0.999664306640625,0.9997759461402893
2,20,-0.1604684690188151,0.3882479965686798,0.0005016211653128266,0.25305914878845215,0.25305914878845215,0.25305914878845215,0.3134312629699707,0.23282596468925476,0.23282596468925476,0.23282596468925476,0.23282596468925476,0.23282596468925476,0.03535120561718941,0.03535120561718941,0.03535120561718941,0.07338331639766693,0.05601995438337326,0.020742911845445633,0.019047483801841736,0.0432896763086319,0.9999067187309265,0.9999067187309265
3,20,0.611594507098198,0.3882479965686798,0.9997448921203613,0.9997448921203613,0.9997448921203613,0.9995955228805542,0.9997008442878723,0.9998623132705688,0.999893069267273,0.9999054670333862,0.9999395608901978,0.9999395608901978,0.9999395608901978,0.9999317526817322,0.9999129772186279,0.999912440776825,0.9998611211776733,0.9998611211776733,0.9998611211776733,0.9998363256454468,0.9998313188552856,0.9998313188552856
4,20,0.3145251899957657,0.611751914024353,0.9961979389190674,0.9961979389190674,0.9961979389190674,0.9961979389190674,0.9919300079345703,0.9919300079345703,0.9916987419128418,0.9916987419128418,0.9973393678665161,0.9973393678665161,0.9852529764175415,0.9852529764175415,0.9252747893333435,0.9880503416061401,0.9880503416061401,0.7380380630493164,0.7380380630493164,0.714835524559021,0.8121246099472046,0.7038964033126831
5,20,0.3945764660835266,0.3882479965686798,0.3882479965686798,0.3882479965686798,0.3882479965686798,0.3882479965686798,0.3882479965686798,0.3882479965686798,0.8902183771133423,0.9954878091812134,0.9954878091812134,0.9954878091812134,0.9968222379684448,0.9968429803848267,0.9968429803848267,0.9968429803848267,0.9968429803848267,0.9968429803848267,0.9968429803848267,0.9968429803848267,0.9968429803848267,0.47875338792800903
6,20,0.04998598545789719,0.611751914024353,0.05022921785712242,0.05022921785712242,0.05022921785712242,0.05022921785712242,0.05022921785712242,0.05022921785712242,0.056326620280742645,0.9681710600852966,0.9681710600852966,0.9681710600852966,0.9958114624023438,0.9958114624023438,0.9958114624023438,0.9958114624023438,0.9958114624023438,0.9978495240211487,0.9978495240211487,0.9991395473480225,0.9993234872817993,0.9993234872817993
7,20,0.23743504881858826,0.611751914024353,0.9765597581863403,0.9664713740348816,0.9664713740348816,0.93475741147995,0.93475741147995,0.9610133171081543,0.9846897125244141,0.9846897125244141,0.9765410423278809,0.9765410423278809,0.9765410423278809,0.7746362686157227,0.7746362686157227,0.7746362686157227,0.7746362686157227,0.7746362686157227,0.6340675354003906,0.6340675354003906,0.6340675354003906,0.5693221092224121
8,20,0.4397248551249504,0.3882479965686798,0.29640480875968933,0.8519352674484253,0.8519352674484253,0.8519352674484253,0.8519352674484253,0.8519352674484253,0.7888182401657104,0.7888182401657104,0.7888182401657104,0.7888182401657104,0.7888182401657104,0.8745042085647583,0.8745042085647583,0.90146803855896,0.90146803855896,0.90146803855896,0.90146803855896,0.90146803855896,0.90146803855896,0.90146803855896
9,20,0.11736424565315247,0.3882479965686798,0.3882479965686798,0.3882479965686798,0.3882479965686798,0.5355699062347412,0.5355699062347412,0.4478326439857483,0.4478326439857483,0.4982730746269226,0.4982730746269226,0.4982730746269226,0.49944233894348145,0.49944233894348145,0.49944233894348145,0.49944233894348145,0.49944233894348145,0.49944233894348145,0.499163419008255,0.6266583204269409,0.6266583204269409,0.7367424368858337
10,20,0.0793581485748291,0.611751914024353,0.5192944407463074,0.5192944407463074,0.5192944407463074,0.5192944407463074,0.5732883810997009,0.5423804521560669,0.5423804521560669,0.541398286819458,0.541398286819458,0.541398286819458,0.5433055758476257,0.7993186712265015,0.7993186712265015,0.7993186712265015,0.7993186712265015,0.7993186712265015,0.9624013900756836,0.9624013900756836,0.9984484910964966,0.9996291399002075
