sentence_id,k,k_type,comprehensiveness,sufficiency
1,1,fixed,0.0,-0.02064800262451172
1,3,fixed,-3.814697265625e-06,-0.013764441013336182
1,5,fixed,-9.5367431640625e-07,-0.024716556072235107
1,10,fixed,2.4437904357910156e-06,-0.03605395555496216
1,185,k80,-2.384185791015625e-05,6.496906280517578e-06
2,1,fixed,0.0,-0.9994567151879892
2,3,fixed,4.172325134277344e-07,-0.7468991875648499
2,5,fixed,7.748603820800781e-07,-0.6865270733833313
2,10,fixed,1.0251998901367188e-05,-0.7671323716640472
2,149,k80,0.9976640806999058,-2.1636486053466797e-05
3,1,fixed,1.5497207641601562e-06,-0.0002135634422302246
3,3,fixed,0.00013583898544311523,-0.0002135634422302246
3,5,fixed,0.2705777883529663,-0.0002576112747192383
3,10,fixed,0.4842127561569214,-1.8894672393798828e-05
3,102,k80,0.9996968935301993,-0.0001965165138244629
4,1,fixed,0.0,-0.003756225109100342
4,3,fixed,5.364418029785156e-07,-0.003756225109100342
4,5,fixed,7.748603820800781e-07,-0.008024156093597412
4,10,fixed,-4.76837158203125e-07,-0.0026147961616516113
4,153,k80,0.0001399517059326172,-0.38984715938568115
5,1,fixed,0.0008539557456970215,-0.6084350049495697
5,3,fixed,0.002593696117401123,-0.6084350049495697
5,5,fixed,0.49138933420181274,-0.6084350049495697
5,10,fixed,0.48809701204299927,-0.0011951923370361328
5,15,k80,0.8857436552643776,0.00015997886657714844
6,1,fixed,0.24756047129631042,-0.5326801873743534
6,3,fixed,0.26640352606773376,-0.5326801873743534
6,5,fixed,0.26640352606773376,-0.5326801873743534
6,10,fixed,0.08352464437484741,0.3852616548538208
6,20,k80,-0.27648216485977173,0.4164140820503235
7,1,fixed,0.0,-0.023393571376800537
7,3,fixed,5.960464477539063e-08,-0.03348195552825928
7,5,fixed,1.150369644165039e-05,-0.06519591808319092
7,10,fixed,1.1026859283447266e-05,-0.02341228723526001
7,203,k80,3.045797348022461e-05,-3.254413604736328e-05
8,1,fixed,0.490299254655838,-0.596358984708786
8,3,fixed,0.490299254655838,-0.04082852602005005
8,5,fixed,0.490299254655838,-0.04082852602005005
8,10,fixed,0.7501110434532166,-0.10394555330276489
8,16,k80,0.7758734077215195,0.00870424509048462
9,1,fixed,0.0,-0.5777194201946259
9,3,fixed,0.5394731760025024,-0.5777194201946259
9,5,fixed,0.5921470820903778,-0.43039751052856445
9,10,fixed,0.45250803232192993,-0.46769434213638306
9,18,k80,0.4181925058364868,-0.33930909633636475
10,1,fixed,0.0,-0.4806601405143738
10,3,fixed,0.0,-0.4806601405143738
10,5,fixed,5.960464477539063e-08,-0.4266662001609802
10,10,fixed,8.940696716308594e-07,-0.45855629444122314
10,174,k80,8.90493392944336e-05,-0.01975429058074951
